time,x,y,z
1582894166,0,0,0
1582894174,0.7434124065180565,1.0273817301231947,60.616455078125
1582894174,-0.7600534853770777,3.959670982442334,61.06658935546875
1582894175,-2.834358211494079,9.488151830001122,61.409912109375
1582894175,-5.569855368201704,17.35222628330099,60.85296630859375
1582894178,-6.339448475058894,20.033808884784662,58.388671875
1582894178,-9.103830863406396,28.60821380719221,58.02398681640625
1582894179,-11.39087886855853,35.939572147592614,57.4639892578125
1582894179,-13.136747588225944,39.87184209322117,57.15576171875
1582894179,-15.149074441312663,45.55830994617796,56.62322998046875
1582894179,-17.382408327036785,51.696558734072696,55.3521728515625
1582894179,-19.54706664952254,56.96444159213292,52.9962158203125
1582894180,-21.198875134649413,60.88681074954238,51.37115478515625
1582894180,-22.785071289975214,64.7044482861214,50.57769775390625
1582894180,-24.5255570244721,68.58873656556132,49.16015625
1582894180,-26.210872080549503,72.380915000323,47.689208984375
1582894181,-27.97368673520988,76.25272636375776,46.749267578125
1582894181,-29.72890716267912,79.61242066755766,48.24462890625
1582894181,-31.289724355109414,82.56542546249769,52.97943115234375
1582894181,-32.30084887974235,85.49180829568344,58.38409423828125
1582894181,-33.66424864749109,88.35836226335958,60.69580078125
1582894181,-35.046423277288326,91.3293342368867,61.9012451171875
1582894182,-36.59562774114535,94.54669542762812,62.28271484375
1582894182,-40.22298243917476,101.77165051391593,61.51214599609375
1582894182,-42.07965596425816,105.32522336436789,60.457763671875
1582894183,-46.06525654841694,112.7790823617497,60.09918212890625
1582894183,-49.556552422357015,119.07998055850412,59.560546875
1582894183,-51.11089469665681,121.59312976736881,59.0264892578125
1582894183,-52.54822132124983,122.96074090150566,59.42626953125
1582894184,-55.80267428042963,123.9902352665922,59.0997314453125
1582894185,-59.613667409089615,123.22003955941759,59.72076416015625
1582894185,-68.6525163664723,120.88991720653229,58.93646240234375
1582894185,-71.77516669537404,119.35745234010021,59.89166259765625
1582894185,-74.68907460193486,118.13067539720961,60.75225830078125
1582894186,-77.57907878821533,116.63373668892109,59.9542236328125
1582894186,-80.2863138759902,114.72611012392656,58.69232177734375
1582894186,-84.6763331283333,109.75757760488011,58.004150390625
1582894187,-87.9382331390745,103.36439875286636,58.3306884765625
1582894187,-89.11601383103344,99.54565756253439,59.33319091796875
1582894187,-90.05834351236685,95.63752652076722,59.87945556640625
1582894187,-91.47170236404193,87.74468652474233,60.48370361328125
1582894188,-92.03809925139704,84.28175448210517,61.4892578125
1582894188,-92.77945870435795,81.45253317485513,62.593994140625
1582894188,-93.61026600475967,78.60377810615593,63.73382568359375
1582894188,-94.76050181657068,76.07391615649911,64.54559326171875
1582894189,-97.81552072582339,74.025551929444,63.55682373046875
1582894189,-99.22367512281878,73.31326110145014,62.50701904296875
1582894189,-101.53089499460158,72.56135615686593,61.92413330078125
